9D090587,1,16,0.004948,0.001054,0.003075
9D090587,2,15,0.002714,0.002559,0.004583
9D090587,3,16,0.002088,0.001544,0.004093
9D090587,4,13,0.001331,0.001379,0.004722
9D090587,5,16,0.001752,0.001774,0.003848
9D090587,6,12,0.001202,0.000885,0.00148
9D090587,7,17,0.001616,0.001873,0.004871
9D090587,8,12,0.001418,0.001907,0.00583
9D090587,9,17,0.001589,0.001376,0.005231
9D090587,10,16,0.001742,0.001232,0.007034
54455B83,1,16,0.00479,0.001051,0.002577
54455B83,2,15,0.002111,0.003175,0.003966
54455B83,3,16,0.001891,0.001174,0.004869
54455B83,4,13,0.001383,0.001115,0.003906
54455B83,5,16,0.001482,0.001428,0.005771
54455B83,6,12,0.00141,0.000958,0.001665
54455B83,7,17,0.001772,0.001422,0.007438
54455B83,8,12,0.001672,0.001517,0.006108
54455B83,9,17,0.001773,0.001564,0.005705
54455B83,10,16,0.001591,0.001594,0.006191
