CC7040CA,1,1370,0.001469,0.006308
CC7040CA,2,844,0.01718,0.378091
CC7040CA,3,1002,0.00346,0.02819
CC7040CA,4,753,0.039492,2.02127
CC7040CA,5,1076,0.007436,0.106845
CC7040CA,6,1265,0.001447,0.007204
CC7040CA,7,1244,0.010743,0.182748
CC7040CA,8,922,0.045902,3.252075
CC7040CA,9,1350,0.014781,0.320019
CC7040CA,10,1172,0.004504,0.042388
CC7040CA,11,976,0.031683,1.139183
CC7040CA,12,1773,0.010371,0.162088
CC7040CA,13,1414,0.002648,0.012975
CC7040CA,14,1843,0.007554,0.064804
CC7040CA,15,1255,0.037879,1.980453
CC7040CA,16,1002,0.003872,0.028712
CC7040CA,17,1496,0.002483,0.011546
CC7040CA,18,1003,0.001838,0.010635
CC7040CA,19,1403,0.008734,0.127274
CC7040CA,20,1604,0.004326,0.037172
CC7040CA,21,876,0.005329,0.04685
CC7040CA,22,1538,0.01215,0.211847
CC7040CA,23,1439,0.019051,0.341664
CC7040CA,24,1309,0.003545,0.019502
CC7040CA,25,876,0.00515,0.049115
CC7040CA,26,1242,0.001673,0.010111
CC7040CA,27,1604,0.005972,0.048896
CC7040CA,28,1552,0.008615,0.111472
CC7040CA,29,1344,0.019698,0.571358
CC7040CA,30,1244,0.010914,0.198588
CC7040CA,31,962,0.008634,0.128598
CC7040CA,32,1423,0.008601,0.119023
CC7040CA,33,1273,0.023396,0.824359
CC7040CA,34,1332,0.013975,0.309018
CC7040CA,35,1076,0.008377,0.120804
CC7040CA,36,1513,0.022246,0.853806
CC7040CA,37,1567,0.01902,0.531196
CC7040CA,38,1125,0.015045,0.318173
CC7040CA,39,966,0.001508,0.005307
CC7040CA,40,1285,0.009032,0.148592
CC7040CA,41,1125,0.014753,0.368989
CC7040CA,42,1265,0.003216,0.021879
CC7040CA,43,1496,0.017019,0.354304
CC7040CA,44,976,0.031493,1.072077
CC7040CA,45,931,0.020695,0.484462
CC7040CA,46,1604,0.004218,0.039576
CC7040CA,47,1125,0.014384,0.316796
CC7040CA,48,1350,0.013698,0.306542
CC7040CA,49,1551,0.022346,0.910751
CC7040CA,50,976,0.02772,1.102718
CC7040CA,51,1423,0.007643,0.102958
CC7040CA,52,1604,0.004562,0.043877
CC7040CA,53,976,0.030706,1.076596
CC7040CA,54,1403,0.017233,0.344564
CC7040CA,55,844,0.017457,0.475431
CC7040CA,56,1024,0.001368,0.005751
CC7040CA,57,962,0.009998,0.158603
CC7040CA,58,1617,0.006399,0.084023
CC7040CA,59,1496,0.015157,0.362264
