LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION
NOT CAPTURED,NOT CAPTURED,4.104045,NOT CAPTURED,NOT CAPTURED,5.262606,205.533976,0,349.279977
NOT CAPTURED,NOT CAPTURED,0.011495,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.014211,0.00724
NOT CAPTURED,NOT CAPTURED,0.008712,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.010807,0.005283
