LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION
NOT CAPTURED,NOT CAPTURED,5.413855,NOT CAPTURED,NOT CAPTURED,4.550057,215.166648,0,362.047695
NOT CAPTURED,NOT CAPTURED,0.012607,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.012691,0.00678
NOT CAPTURED,NOT CAPTURED,0.008488,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.011784,0.006203
