LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION
NOT CAPTURED,NOT CAPTURED,4.539331,NOT CAPTURED,NOT CAPTURED,5.009121,185.730143,0,320.461754
NOT CAPTURED,NOT CAPTURED,0.007816,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.011692,0.005948
NOT CAPTURED,NOT CAPTURED,0.010144,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.018127,0.005832
