LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION
NOT CAPTURED,NOT CAPTURED,5.410628,NOT CAPTURED,NOT CAPTURED,4.730458,183.214615,0,318.511061
NOT CAPTURED,NOT CAPTURED,0.009098,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.012265,0.006123
NOT CAPTURED,NOT CAPTURED,0.007691,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.012028,0.005829
