LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION
NOT CAPTURED,NOT CAPTURED,8.268444,NOT CAPTURED,NOT CAPTURED,17.665058,22.724621,0,268.028198
NOT CAPTURED,NOT CAPTURED,0.504946,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.016663,0.007445
NOT CAPTURED,NOT CAPTURED,0.270576,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0.013316,0.00932
