LOAD_HISTORY,SAVE_HISTORY,UPDATE_HISTORY,LOAD_DATA_STORE,SAVE_DATA_STORE,LOAD_DATASET,MODEL_TRAINING,TOTAL_REUSE,TOTAL_EXECUTION,TOTAL_HISTORY_READ,NODE_SIZE_COMPUTATION
NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0,0,0,NOT CAPTURED
NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,NOT CAPTURED,0,0,0,NOT CAPTURED
